"data","volumeOperacional","pluviometria","temperaturaMedia","diferenca","medMov.pluviometria","medMov.diferenca","medMov.temperatura","predito","volumeOperacionalPredito"
"2011-12-17",675.7306,0,26,-1.42806000000007,4.14333333333333,0.437236666666664,22.6,0.329825498333332,NA
"2011-12-18",674.50418,0,25,-1.22641999999996,4.13666666666667,0.426991333333338,23.0666666666667,0.399586416944445,NA
"2011-12-19",674.71044,11.15,25,0.206259999999929,4.81,0.503783333333331,23.4,0.862096898333329,NA
"2011-12-20",673.83698,0,26,-0.873459999999909,4.67666666666667,0.44712866666667,23.7333333333333,1.25362833194444,NA
"2011-12-21",672.58853,0.3,27,-1.24845000000004,4.69666666666667,0.38442133333333,24.0666666666667,1.90305235111111,NA
"2011-12-22",671.21423,0,27,-1.37429999999994,4.35666666666667,0.318875333333335,24.3333333333333,0.403255439166666,NA
"2011-12-23",669.61407,1.2,27,-1.60016000000007,4.11333333333333,0.243798666666665,24.6,0.522230558333332,NA
"2011-12-24",667.9241,2.1,25,-1.68997000000001,3.88666666666667,0.102175333333328,24.8,0.141148663333331,NA
"2011-12-25",667.44117,1.6,23,-0.482929999999896,1.57,-0.283931999999996,25.0666666666667,-0.677823939166665,NA
"2011-12-26",665.78294,0.15,20,-1.65823,1.58,-0.653857333333326,25,-0.337176485,NA
"2011-12-27",664.14346,1.15,22,-1.63948000000004,1.65666666666667,-0.818873333333332,24.9333333333333,-0.950504991111111,NA
"2011-12-28",662.46533,0,22,-1.67813000000001,1.65666666666667,-0.930705333333336,24.7333333333333,-0.896369423055556,NA
"2011-12-29",661.34604,2.15,19,-1.11928999999997,1.76,-1.05530133333333,24.2,-0.65882256361111,NA
"2011-12-30",659.99746,0,22,-1.34857999999997,1.48666666666667,-1.19192799999999,24.0666666666667,-1.24891954666666,NA
"2011-12-31",659.93069,9.6,21,-0.0667700000000195,1.96,-1.14853133333333,23.8,-0.578976861666666,NA
"2012-01-01",661.3487,28.05,21,1.41800999999998,3.83,-0.958793333333331,23.4666666666667,-0.168107172777777,NA
"2012-01-02",665.764,29.4,21,4.4153,5.79,-0.582678666666667,23.2,0.116880645833334,NA
"2012-01-03",667.18529,0,23,1.42128999999999,5.04666666666667,-0.501676666666662,23.0666666666667,-0.0856295133333332,NA
"2012-01-04",667.15153,0,24,-0.0337600000000293,5.04666666666667,-0.44569666666667,22.9333333333333,0.242900693888888,NA
"2012-01-05",666.20781,0,22,-0.943719999999984,5.02666666666667,-0.425381333333333,22.6,0.715965473888887,NA
"2012-01-06",666.60901,13.8,22,0.401200000000017,5.94666666666667,-0.307014666666668,22.2666666666667,0.0169834966666664,NA
"2012-01-07",666.76205,5.55,23,0.153040000000032,6.23666666666667,-0.190134666666661,22,0.620650194722221,NA
"2012-01-08",666.7562,0.25,23,-0.00585000000000945,6.11333333333333,-0.0778599999999945,21.8666666666667,0.205495858333334,NA
"2012-01-09",666.39567,3.4,23,-0.360530000000039,6.23333333333333,-0.069700000000004,21.8666666666667,0.254414944722221,NA
"2012-01-10",666.83836,11.15,20,0.44268999999997,6.96666666666667,0.0703613333333275,21.8666666666667,0.130530312777776,NA
"2012-01-11",668.50461,16.25,21,1.66624999999999,7.97333333333333,0.29074333333333,21.8,0.694647784999998,NA
"2012-01-12",669.11993,2.15,22,0.615319999999997,8.11666666666667,0.443639999999997,21.8,1.31549150027777,NA
"2012-01-13",670.51627,11.8,24,1.39634,8.76,0.611348666666663,22.1333333333333,1.66844618944444,NA
"2012-01-14",672.19577,0.4,24,1.67950000000007,8.78666666666667,0.813220666666666,22.2666666666667,1.33942648,NA
"2012-01-15",672.58339,5.5,22,0.387619999999969,8.51333333333333,0.843513333333332,22.3333333333333,1.07317837,NA
"2012-01-16",676.11094,30.1,22,3.52755000000001,8.65,0.984149333333334,22.4,1.15019471194444,NA
"2012-01-17",682.26491,19.7,21,6.15396999999995,8.00333333333333,1.10006066666666,22.4,0.595333518611108,NA
"2012-01-18",692.37486,36.7,22,10.10995,10.45,1.67930466666666,22.3333333333333,2.87048218083333,NA
"2012-01-19",701.53082,44.6,22,9.15595999999993,13.4233333333333,2.29195266666666,22.2,3.321942385,NA
"2012-01-20",710.38737,9.3,21,8.85655000000008,14.0433333333333,2.945304,22.1333333333333,4.16862519666666,NA
"2012-01-21",713.77022,3,22,3.38284999999996,13.3233333333333,3.14408066666666,22.1333333333333,4.1997562375,NA
"2012-01-22",718.19161,8.8,22,4.42138999999997,13.54,3.42863733333332,22.0666666666667,3.80177833138888,NA
"2012-01-23",721.65873,1.8,23,3.46712000000002,13.6433333333333,3.66016866666666,22.0666666666667,3.90974075694444,NA
"2012-01-24",723.52576,2.2,24,1.86702999999999,13.5633333333333,3.80867266666666,22.1333333333333,3.6485809175,NA
"2012-01-25",725.7886,3.2,24,2.26283999999998,13.0333333333333,3.930016,22.4,4.58774154361111,NA
"2012-01-26",727.15385,10.75,20,1.36525000000006,12.6666666666667,3.90994933333333,22.3333333333333,4.26806688361111,NA
"2012-01-27",729.9466,10.75,17,2.79274999999995,13.24,4.05511133333333,22,4.7724259425,NA
"2012-01-28",735.01418,27.9,20,5.06758000000002,14.3133333333333,4.29986066666667,21.7333333333333,4.30526788555555,NA
"2012-01-29",739.17618,0.05,21,4.16200000000003,14.29,4.46536066666666,21.5333333333333,4.47565058611111,NA
